Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Tonga,Western Pacific,10826,10242.679,332,314.111,61,11,10.407,0,0,0
Saint Martin,Americas,10487,27126.93,69,178.484,0,44,113.816,0,0,0
Sint Maarten,Americas,10123,23606.641,58,135.255,58,86,200.55,0,0,0
Eritrea,Africa,9734,274.474,0,0,0,103,2.904,0,0,0
Niger,Africa,8986,37.122,32,0.132,0,309,1.277,0,0,0
Saint Vincent and the Grenadines,Americas,8479,7642.87,54,48.675,7,106,95.547,0,0,0
Bonaire,Americas,8444,40372.938,88,420.751,88,30,143.438,1,4.781,1
Guinea-Bissau,Africa,8215,417.429,5,0.254,0,171,8.689,0,0,0
Comoros,Africa,8108,932.382,1,0.115,0,160,18.399,0,0,0
Vanuatu,Western Pacific,8063,2625.144,466,151.72,0,14,4.558,1,0.326,0
Sierra Leone,Africa,7682,96.302,1,0.013,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7663,7825.057,9,9.19,0,137,139.897,0,0,0
Liberia,Africa,7434,146.984,0,0,0,294,5.813,0,0,0
Chad,Africa,7412,45.124,0,0,0,193,1.175,0,0,0
British Virgin Islands,Americas,6467,21387.704,112,370.407,0,62,205.047,0,0,0
Turks and Caicos Islands,Americas,5995,15483.754,0,0,0,36,92.98,0,0,0
American Samoa,Western Pacific,5974,10823.052,101,182.981,5,29,52.539,2,3.623,0
Sao Tome and Principe,Africa,5970,2724.05,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5595,10518.499,30,56.399,4,43,80.839,0,0,0
Cook Islands,Western Pacific,5336,30380.323,136,774.311,30,1,5.693,0,0,0
Palau,Western Pacific,4782,26431.572,92,508.512,50,6,33.164,0,0,0
Saint Barthélemy,Americas,4518,45705.615,31,313.606,0,4,40.465,0,0,0
Kiribati,Western Pacific,3093,2589.39,9,7.535,0,13,10.883,0,0,0
Anguilla,Americas,2984,19890.681,196,1306.492,196,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,2727,47057.808,26,448.663,0,1,17.256,0,0,0
Sint Eustatius,Americas,924,29436.126,4,127.429,4,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,575,29746.508,17,879.462,17,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Montserrat,Americas,452,9041.808,179,3580.716,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,392,11254.666,195,5598.622,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,17,28.719,0,0,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,7,6.086,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
